"";"Samples";"MMP1";"MYO1B";"LAPTM4B";"MAL";"KRT4";"MYO10";"SPP1";"EXT1";"HPGD";"MGST2";"AIM1";"Class"
"1";"GSM155673";0,0615272388284134;0,290202039422659;0,311218332299915;-0,313355753767955;-0,284815548784601;-0,268562124976016;-0,107033076938825;0,244473747983883;-0,623912518724914;0,376087481275086;0,314170183382354;"HNSCC"
"2";"GSM155674";-0,359563398769359;0,285440492660184;0,365100917377041;0,0933448361106645;0,0385328335921279;-0,334981866272292;-0,302147598454798;-0,189886477125066;-0,493286757854758;0,506713242145242;0,390733776591015;"HNSCC"
"3";"GSM155675";0,57786770173866;0,219105140106091;0,265989035722191;-0,224102274947353;-0,284953725649059;-0,42213229826134;-0,187415364413573;-0,266720120643187;-0,0823385202752205;0,273311733834794;0,131388692787996;"HNSCC"
"4";"GSM155680";0,245231767676778;0,382337108727361;0,241584606591593;0,0824520321263237;-0,0775889763270349;-0,307621808235209;-0,614653104350807;-0,21509856304391;-0,45300470261287;0,385346895649193;0,331014743798582;"HNSCC"
"5";"GSM155682";0,507949018133392;0,146746341018407;0,341801791762144;-0,202391405037867;-0,243358878350977;-0,359748394723476;-0,286952835986599;-0,115883100996101;-0,492050981866608;0,347655719159927;0,356232726887757;"HNSCC"
"6";"GSM155683";0,542114325422815;0,171667031673938;0,353258418316196;-0,189339362241383;-0,148840471588829;-0,265225241685398;-0,396054688642891;-0,0704567749983251;-0,457885674577185;0,216450068516074;0,244312369804989;"HNSCC"
"7";"GSM155684";0,51872535185741;0,319522897928341;0,291541375065704;-0,0798910939167558;-0,140144977663014;-0,117224651632631;-0,48127464814259;-0,283246855942497;-0,441098380357325;0,105604901460454;0,307486081342902;"HNSCC"
"8";"GSM155686";0,22713939860726;0,191837894234571;0,523088628360198;-0,336945392534612;-0,24093108530545;-0,476911371639802;-0,0432274139084242;-0,0793830397073736;-0,471781244498241;0,50023233244974;0,206881293942131;"HNSCC"
"9";"GSM155687";0,209838862469755;-0,0975082962451006;0,111820431986298;0,386344941644248;0,178005778610202;-0,613655058355752;-0,111574248004658;-0,275693029946118;-0,256406160337531;0,270585565951698;0,198241212226957;"HNSCC"
"10";"GSM155689";0,471985112344213;0,0606542171156615;0,161060080458455;-0,0134897307380281;0,295583921249885;-0,254418344450044;-0,468655425558927;-0,154191428108056;-0,528014887655787;0,140425037959985;0,289061447382642;"HNSCC"
"11";"GSM155690";-0,272079308557744;0,249551158103542;0,506943948998771;-0,0739285316196567;-0,124551928935738;-0,348874285663615;-0,199155446988373;-0,0261348199089173;-0,491875158583251;0,508124841416749;0,271979531738234;"HNSCC"
"12";"GSM155691";0,336575134407087;0,147220497162045;0,495916080310214;-0,355291112925332;-0,300917231046121;-0,23697302244439;-0,118930464479236;0,00427340793346388;-0,504083919689786;0,298687281389252;0,233523349382804;"HNSCC"
"13";"GSM155692";-0,379297207526687;0,258849645398566;0,434408036090271;-0,186750150102889;-0,0969843535601204;-0,363856491843235;-0,382232360861226;0,0376472484943139;-0,408466866226528;0,591533133773472;0,495149366364064;"HNSCC"
"14";"GSM155693";0,542780490468629;0,224907283973432;0,278804904994803;-0,0576403528284056;-0,11541629735027;-0,349186866332505;-0,446086027761898;-0,263485048971894;-0,457219509531371;0,358935585152972;0,283605838186508;"HNSCC"
"15";"GSM155695";0,483800412467954;0,25666057399106;0,200520938205367;-0,274722780275007;-0,0801143939647234;-0,348706594668135;-0,113773064479702;-0,0340733859693117;-0,516199587532046;0,182190356209701;0,244417526014844;"HNSCC"
"16";"GSM155698";0,12331426814321;-0,104270316280596;0,433445313768251;0,201514209564776;0,337112701642515;-0,334136247252525;-0,5181466024079;-0,310666325388597;-0,566554686231749;0,350063070592166;0,38832461385045;"HNSCC"
"17";"GSM155700";0,529178579145114;0,472837314171855;0,229885316784242;-0,326073728026997;-0,141149004288176;-0,382816542403748;-0,444975819985373;-0,330300507595436;-0,470821420854886;0,43477117894947;0,429464634103937;"HNSCC"
"18";"GSM155702";-0,144055046205988;0,0103601899003025;0,17735488524214;0,588938630380612;-0,172002372654333;-0,288730473403242;-0,411061369619388;-0,312866694917826;-0,263548800462373;0,510117684586596;0,305493367153501;"HNSCC"
"19";"GSM155705";-0,0150588323467814;0,0448289329953126;0,403020079562453;0,414356220779837;-0,00838475331319528;-0,193792633702177;-0,365174285859166;-0,252204133672844;-0,585643779220163;0,371449697617588;0,186603487159135;"HNSCC"
"20";"GSM155707";0,457215942248171;0,359843085962519;0,292665413764045;-0,317005541961738;-0,286086010034018;-0,343294631773956;-0,184416641283154;-0,1714931225002;-0,542784057751829;0,351264477378232;0,384091085951927;"HNSCC"
"21";"GSM155708";0,584780770768045;0,183595999432324;0,0860402113198809;-0,260970325912894;-0,153234708820391;-0,170988359233012;-0,415219229231954;0,148169769454105;-0,358160553712088;0,175100491449318;0,180885934486666;"HNSCC"
"22";"GSM155713";-0,535688080434352;-0,0136155268847465;0,363296662429459;0,091576739091002;0,199760580744967;-0,284196552365331;-0,317159154447678;0,113501167190021;-0,386305460725864;0,464311919565648;0,304517705836874;"HNSCC"
"23";"GSM155714";0,318622604822814;0,0620115805373158;0,196757581729982;0,455973970274126;-0,369975809314948;-0,343775578677121;-0,0732017445549086;-0,544026029725874;-0,220485493288092;0,287857586511971;0,230241331684732;"HNSCC"
"24";"GSM153816";0,434916346884447;-0,177725428020615;-0,198261355405458;0,30145290244297;0,540720803580339;-0,401991829767668;0,166248973883681;-0,0476541833903946;-0,459279196419661;0,0291371344492752;-0,187564168236916;"HNSCC"
"25";"GSM153818";-0,392684923219274;0,125467086354422;0,536996548596545;0,10741002840331;0,319876697334877;-0,312586143377779;0,144143507641839;-0,20894274508534;-0,463003451403456;0,347730005320081;-0,204406610565225;"HNSCC"
"26";"GSM153820";0,45886211464384;-0,0339509721813235;-0,155424665973313;0,597722723986768;0,370378150451455;-0,363287844146393;-0,211298146828172;-0,149683304783745;-0,402277276013232;0,0807265451906214;-0,191767324346504;"HNSCC"
"27";"GSM153822";-0,131965239110727;-0,149562881646526;-0,142124099548909;0,518551384031131;0,757152868512006;-0,225567828195529;-0,221572161583924;-0,0661806103763145;-0,242847131487994;-0,0188789733557475;-0,0770053272374659;"HNSCC"
"28";"GSM153828";0,0761460914250087;-0,130344295554634;-0,100998898463168;0,268417167606842;0,797877437919357;-0,1933730049646;-0,1413195036824;-0,13281209925654;-0,202122562080643;-0,100206270414553;-0,14126406253467;"HNSCC"
"29";"GSM153830";-0,251983641224007;-0,13873838949308;0,138683726577951;0,0446217197480067;0,315098700554272;-0,248047519172881;0,734787857486548;-0,131450089658341;-0,265212142513452;-0,0213883654483902;-0,176371856856625;"HNSCC"
"30";"GSM153832";-0,295557802060795;-0,223438454827044;-0,0153766255019157;0,468538082656272;0,668853093134691;-0,291378606246381;0,624102036361529;-0,197278857544645;-0,331146906865309;-0,135797497186066;-0,271518461920336;"HNSCC"
"31";"GSM153834";-0,290321607919362;-0,107622160951186;0,29491150476978;0,0523233087556563;0,123916497331505;-0,25703152762656;0,709678392080638;-0,115782969915774;-0,282135859494728;0,139320970126807;-0,267256547156777;"HNSCC"
"32";"GSM153840";-0,287342580706929;0,170839009928915;-0,0298808957147656;0,0250362546501451;0,703585442186245;-0,27386030946438;-0,060125182174248;-0,133660099128337;-0,296414557813755;0,231979841263981;-0,0501569230268722;"HNSCC"
"33";"GSM153844";0,689071152557071;0,400785367765364;-0,137556751297212;0,0237238483093607;0,0923859433702344;-0,252735315715522;-0,30704722293304;-0,204621246187764;-0,310928847442929;-0,0377277413051649;0,044650812879602;"HNSCC"
"34";"GSM153846";0,244790694870935;-0,055142941776405;0,517200453539631;-0,124566347136572;0,117110955323743;-0,421285345029704;0,430107680543124;-0,117203102566387;-0,482799546460369;0,105076960878646;-0,213289462186642;"HNSCC"
"35";"GSM153850";-0,0570536651789965;-0,16405271947851;0,0402380081251195;-0,000534891767764421;0,711357237427706;-0,274869215787825;0,149072609879148;-0,220455912221926;-0,288642762572294;0,290876969402059;-0,185935657826714;"HNSCC"
"36";"GSM153852";0,0193376673260291;-0,00119228529684613;-0,180648436637791;-0,0899826313029229;0,627966972664259;-0,372033027335741;0,416320365345429;-0,279067390938992;-0,348131457513375;0,314094898130815;-0,106664674440864;"HNSCC"
"37";"GSM153854";0,66858908566201;0,114524292672999;0,11703664740987;-0,232985920243481;-0,243159778742139;-0,195595953329373;0,620647141867679;-0,219363954202644;-0,33141091433799;-0,0825626374306509;-0,215718009326278;"HNSCC"
"38";"GSM153856";0,675372123597085;0,203368876101157;-0,113240637730457;-0,119699434845681;-0,12211859291981;-0,287112551496977;0,601135292425069;-0,179164132617074;-0,324627876402915;-0,0776257524625735;-0,256287313647824;"HNSCC"
"39";"GSM44809";0,500994432302757;-0,248018470347127;0,418462793686822;-0,0944844901646088;0,689988382683519;-0,265075512557127;-0,0403469214111325;-0,209406655392688;-0,310011617316481;-0,195597592637331;-0,246504348846602;"HNSCC"
"40";"GSM44810";0,488863176783539;-0,14954830032964;-0,0187942170240242;-0,174614748788301;-0,125300131893467;-0,181555411712857;0,798246611616954;-0,15204434874356;-0,201753388383046;-0,102729731848727;-0,18076950967687;"HNSCC"
"41";"GSM44811";0,666241214180891;-0,145067197034062;0,135485054452769;-0,230997528384954;-0,193903220823357;-0,18253533637136;0,745816405344867;-0,175364563219279;-0,254183594655132;-0,166307638835251;-0,199183594655132;"HNSCC"
"42";"GSM44813";0,640408784752526;-0,0909723257004975;0,46125147286977;-0,317511905045135;-0,200612688780896;-0,327801019520142;0,613019354854867;-0,178657068334896;-0,359591215247473;-0,214028481951789;-0,025504907896335;"HNSCC"
